Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Non-Fatal,Substantial,Airplane,Piper,PA-23-250T,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Fatal(1),Substantial,Glider,Raz-mut,440A,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Beech,E18S,2.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Mooney,M20J,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Beech,BE-19,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Destroyed,Airplane,Smith,AEROSTAR 600,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Descent
Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Landing
Fatal(2),Destroyed,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,210B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Christian,EAGLE II,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Fatal(1),Substantial,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Unknown
Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Funk Aircraft Co.,B75L,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Gyrocraft,Benson,BM8,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Destroyed,Helicopter,Bell,47G,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,1.0,0.0,VMC,Maneuvering
Incident,Minor,Airplane,Beech,M35,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Destroyed,Helicopter,Hughes,269B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Cruise
Non-Fatal,Destroyed,Airplane,Boeing,E75,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Minor,Airplane,Boeing,A75N1,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Go-around
Non-Fatal,Substantial,Helicopter,Robinson,R-22,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Descent
Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Piper,PA-23,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Mooney,M20E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,TU-206A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,UNK,Unknown
Non-Fatal,Destroyed,Airplane,Rayan,NAV-4,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Fatal(1),Destroyed,Airplane,Starfire,JRF,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Landing
Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Great Lakes,2T-1A-2,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Helicopter,Hiller,UH-12A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Beech,35-33,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Osprey,2,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Boeing,E75,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,IMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-12,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Approach
Fatal(1),Substantial,Airplane,Hudson,2-2-2E,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Champion,7GCAA,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Landing
Fatal(2),Destroyed,Airplane,Cessna,150H,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Takeoff
Incident,Minor,Airplane,Beech,F33A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,UNK,Taxi
Non-Fatal,Substantial,Airplane,Cessna,182M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Grumman,G-164B,1.0,Turbo Prop,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Sikorsky,S-55B,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,150F,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,172A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Descent
Non-Fatal,Substantial,Airplane,Cessna,U206,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-38,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Fatal(2),Destroyed,Airplane,Bellanca,17-30,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Go-around
Non-Fatal,Substantial,Airplane,Mooney,M20G,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-28,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,T210M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Boeing,A75,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,1.0,0.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Fatal(1),Destroyed,Helicopter,Moore Bell,47D1,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Landing
Fatal(1),Destroyed,Airplane,Beech,J35,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Descent
Fatal(1),Substantial,Glider,Blanik,L-13,0.0,Unknown,Part 91: General Aviation,1.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Helio,H-395,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,195,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Taylor,MONOPLANE,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Grumman,G164A,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,3.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Luscombe,8A,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Cessna,182E,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Bellanca,14-19,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Bellanca,17-31ATC,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,A150L,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Fatal(1),Destroyed,Airplane,Cessna,172C,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Cruise
Non-Fatal,Substantial,Glider,Bryan,HP-18,0.0,Unknown,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Bell 47g-3b,(SOLOY CONVERSION),1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Maule,M-4,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Fatal(2),Substantial,Airplane,Piper,PA-12,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Grumman,G164B,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Piper,PA-16,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Gulfstream American,980(695),2.0,Turbo Prop,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA 28-181,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Hiller,12E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,IMC,Cruise
Non-Fatal,Substantial,Helicopter,Hughes,369D,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,1.1167605633802817,0.27351323028556457,1.0,3.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,UNK,Landing
Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-28R,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Volmer Aircraft,AMPHIBIAN,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-32RT-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,VMC,Taxi
Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Bell,47G2,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,1.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Citabria,7GCBC,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,210,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,205,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-20S,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Destroyed,Helicopter,Bell,47G-2,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Martin,404,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Nash Cassutt Racer,111M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Cruise
Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,1.0,0.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Aero Commander,680F,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Bell,47G-2,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-36-285,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,180C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,185A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Destroyed,Airplane,Cessna,182A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Fatal(1),Destroyed,Airplane,Piper,J3C-65,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,North American,SNJ-5,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Boeing,A75N1,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,2.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Enstrom,F-28C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Oldfield,BABY LAKES,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Boeing,E75N1,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Beech,C23,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Destroyed,Airplane,Cessna,188,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Piper,PA-38,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Swearingen,SA26-T,2.0,Turbo Prop,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Destroyed,Airplane,Beech,77,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Standing
Non-Fatal,Substantial,Airplane,Cessna,210,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Fatal(1),Destroyed,Airplane,Cessna,A188,1.0,Reciprocating,Part 137: Agricultural,1.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Homebuilt,QUICKIE 2,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Champion,7EC,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,R182,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Bellanca,17-30,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Hughes,369D,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,0.0,0.0,1.0,0.0,VMC,Approach
Fatal(2),Destroyed,Airplane,Rockwell,112TC,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Other
Fatal(2),Destroyed,Airplane,Cessna,T210M,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,182QII,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,T188C,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Balloon,Balloon Works,FIREFLY-7,0.0,Unknown,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Glider,Blanik,L-13,0.0,Unknown,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Cruise
Fatal(2),Destroyed,Airplane,Cessna,150F,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,IMC,Cruise
Fatal(1),Destroyed,Airplane,Cessna,T337B,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Piper,PA-31P,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-28,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Bell,47G2,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Boeing,A75N1,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Boeing,B75N1,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,24-260,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,195,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Minor,Airplane,Cessna,404,2.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172G,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Beech,C23,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Cessna,188,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Lake,LA-4,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Robinson,R22,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Landing
Non-Fatal,Destroyed,Helicopter,Bell,47D1,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,206,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,310R,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Go-around
Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,1.0,0.0,VMC,Maneuvering
Non-Fatal,Destroyed,Airplane,Cessna,A188B,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Destroyed,Airplane,Pitts Special,S-1S,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Glider,Schleicher,ASW-15,0.0,Unknown,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-22-160,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
