Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Non-Fatal,Substantial,Airplane,Cessna,310J,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Eurocopter France,EC135T1,2.0,Turbo Shaft,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,"Stanley, Davey L",Pulsar III,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Descent
Fatal(1),Destroyed,Helicopter,Aerospatiale,AS350-D,1.0,Turbo Shaft,Part 91: General Aviation,1.0,0.27351323028556457,0.4613025011798018,3.3708830548926016,IMC,Cruise
Non-Fatal,Substantial,Airplane,Champion,7FC,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Piper,PA-28-151,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Reinhart,GP-4,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Fatal(1),Substantial,Airplane,Beech,95-B55,2.0,Reciprocating,Part 91: General Aviation,1.0,0.27351323028556457,0.4613025011798018,3.3708830548926016,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Robinson,R22B,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Lee Harold Swarthout,Velocity XLRG,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Go-around
Non-Fatal,Substantial,Airplane,Piper,PA-19,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Standing
Non-Fatal,Substantial,Airplane,Maule,M-4-210C,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,182S,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172F,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Eurocopter,AS 350 B3,1.0,Turbo Shaft,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Maneuvering
Non-Fatal,Substantial,Helicopter,Bell,206B,1.0,Turbo Shaft,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,182G,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Robinson,R44,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,3.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Gulfstream American,690C,2.0,Turbo Prop,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Dickson,RV-7A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Landing
Non-Fatal,Substantial,Airplane,Beech,BE77,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Aeronca,7EC,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Robinson,R44,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Aviat,Husky A-1,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,3.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Grumman,G-164A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-32-301,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,3.0,VMC,Standing
Non-Fatal,Substantial,Airplane,Air Tractor,AT-402,1.0,Turbo Prop,Part 137: Agricultural,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Air Tractor,AT-602,1.0,Turbo Prop,Part 137: Agricultural,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
